x1, x2, 
0, 1, 
1, 0.0869069, 
0, 1, 
0.867168, 0.308037, 
0.609786, 0.649426, 
0.89717, 0.256501, 
0.695569, 0.554015, 
0.902969, 0.239211, 
0.448833, 0.810396, 
0.873439, 0.28986, 
0.746149, 0.491514, 
0.711657, 0.537284, 
0.632274, 0.638408, 
0.790059, 0.412336, 
0.749831, 0.471907, 
0.973826, 0.132475, 
0.985957, 0.115712, 
0.853927, 0.328194, 
0.915906, 0.222564, 
0.516621, 0.754728, 
0.678941, 0.583578, 
0.647178, 0.61417, 
0.953214, 0.147212, 
0.691063, 0.569549, 
0.507208, 0.76728, 
0.209382, 0.966247, 
0.266571, 0.937092, 
0.467259, 0.800566, 
0.0804329, 0.995233, 
0.764206, 0.461453, 
0.988645, 0.0869071, 
0.944062, 0.172765, 
0.540314, 0.72566, 
0.733908, 0.50478, 
0.492728, 0.775829, 
0.376556, 0.874012, 
0.604194, 0.666472, 
0.774018, 0.452358, 
0.656646, 0.599641, 
0.935572, 0.202274, 
0.334258, 0.897234, 
0.926833, 0.215088, 
0.436355, 0.821466, 
0.106739, 0.991705, 
0.63491, 0.625084, 
0.278496, 0.927939, 
0.572105, 0.701668, 
0.320774, 0.905305, 
0.420224, 0.842499, 
0.938194, 0.186292, 
0.724772, 0.512969, 
0.247745, 0.942519, 
0.665448, 0.591589, 
0.716677, 0.525999, 
0.388946, 0.865793, 
0.431589, 0.83277, 
0.408467, 0.848981, 
0.134304, 0.985206, 
0.394886, 0.854495, 
0.553292, 0.714673, 
0.808424, 0.398763, 
0.592491, 0.673386, 
0.948609, 0.154521, 
0.0514714, 0.998005, 
0.833157, 0.355877, 
0.787685, 0.439101, 
0.830068, 0.369243, 
0.840717, 0.345788, 
0.484698, 0.787385, 
0.180264, 0.97153, 
0.529151, 0.741536, 
0.358913, 0.878301, 
0.192146, 0.967711, 
0.114881, 0.988613, 
0.888434, 0.27716, 
0.291481, 0.922035, 
0.581363, 0.690831, 
0.801434, 0.404823, 
0.311097, 0.913525, 
0.56336, 0.712175, 
0.227328, 0.957035, 
0.850932, 0.339127, 
0.347866, 0.891227, 
0.81647, 0.384059, 
0.0668372, 0.997192, 
0.476724, 0.79384, 
0.242843, 0.952003, 
0.144828, 0.981181, 
0.974398, 0.120013, 
0.166798, 0.977079, 
0.588251, 0.685893, 
0.303709, 0.92006, 
0.886156, 0.277902, 
0.536397, 0.740347, 
0.783524, 0.439478, 
0.0327714, 0.999285, 
0.158836, 0.979638, 
0.357458, 0.888834, 
0.821611, 0.378422, 
0.22977, 0.954716, 
